DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , ACIDOFOLICOG , CALCIOMG , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTELECHECONAZUCAR , EQUIVALENTELECHEENTERA , HIERROMG , EQUIVALENTEAOAALTOENGRASA , KILOCALORIAS , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTECEREALESCONGRASA , COLESTEROLMG , SODIOMG , EQUIVALENTEVERDURAS , AGSATURADOSG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA , EQUIVALENTECEREALESSINGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTELEGUMINOSAS , EQUIVALENTEAOAMUYBAJOSENGRASA
1 , 66 , 96 , 122 , 131 , 137 , 185 , 192 , 272 , " (230.762,230.762) [8700,46400] " , " (681.7,681.7) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (2.95,2.95) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (11.1033,11.1033) [638,1044] " , " (0,0) [1,2] " , " (2192.31,2192.31) [2000,2350] " , " (32.6527,32.6527) [15,30] " , " (2.61294,2.61294) [2,4] " , " (2,2) [2,3] " , " (270.475,270.475) [50,455] " , " (3254.09,3254.09) [1000,4000] " , " (2.99333,2.99333) [1,3] " , " (1.64,1.64) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (10.4,10.4) [8,9] " , " (0.666667,0.666667) [3,4] " , " (2.16,2.16) [1,2] " , " (1.66667,1.66667) [1,2] "
2 , 20 , 84 , 118 , 132 , 181 , 160 , 227 , 246 , " (160.132,160.132) [8700,46400] " , " (968.927,968.927) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.8867,12.8867) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2259.1,2259.1) [2000,2350] " , " (28.0612,28.0612) [15,30] " , " (1.25,1.25) [2,4] " , " (3,3) [2,3] " , " (190.208,190.208) [50,455] " , " (3035.01,3035.01) [1000,4000] " , " (4.15,4.15) [1,3] " , " (3.9,3.9) [0,7] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2.33333,2.33333) [3,4] " , " (1.78571,1.78571) [1,2] " , " (3.5,3.5) [1,2] "
3 , 11 , 107 , 128 , 125 , 185 , 151 , 235 , 284 , " (164.935,164.935) [8700,46400] " , " (660.7,660.7) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (3.2,3.2) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (10.1667,10.1667) [638,1044] " , " (0,0) [1,2] " , " (1995.9,1995.9) [2000,2350] " , " (30.4545,30.4545) [15,30] " , " (3.1,3.1) [2,4] " , " (2.33333,2.33333) [2,3] " , " (440.725,440.725) [50,455] " , " (2520.31,2520.31) [1000,4000] " , " (2.70333,2.70333) [1,3] " , " (1.34,1.34) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (9.5,9.5) [8,9] " , " (2.33333,2.33333) [3,4] " , " (2.03571,2.03571) [1,2] " , " (0,0) [1,2] "
4 , 66 , 113 , 120 , 119 , 151 , 185 , 192 , 248 , " (134.722,134.722) [8700,46400] " , " (711.288,711.288) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.3143,12.3143) [638,1044] " , " (0,0) [1,2] " , " (2235.76,2235.76) [2000,2350] " , " (30.227,30.227) [15,30] " , " (3.09333,3.09333) [2,4] " , " (3,3) [2,3] " , " (304.285,304.285) [50,455] " , " (3299.1,3299.1) [1000,4000] " , " (2.24667,2.24667) [1,3] " , " (2.84,2.84) [0,7] " , " (4,4) [1,2] " , " (1.85,1.85) [1,2] " , " (9.32333,9.32333) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.16,2.16) [1,2] " , " (2,2) [1,2] "
5 , 20 , 84 , 134 , 133 , 181 , 180 , 227 , 246 , " (107.367,107.367) [8700,46400] " , " (1098.08,1098.08) [43500,75400] " , " (1,1) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.2117,12.2117) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2225.85,2225.85) [2000,2350] " , " (21.5033,21.5033) [15,30] " , " (1,1) [2,4] " , " (3,3) [2,3] " , " (207.458,207.458) [50,455] " , " (2866.27,2866.27) [1000,4000] " , " (2.51667,2.51667) [1,3] " , " (6.2,6.2) [0,7] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2.33333,2.33333) [3,4] " , " (1.5,1.5) [1,2] " , " (3,3) [1,2] "
6 , 11 , 107 , 130 , 128 , 151 , 185 , 214 , 284 , " (171.725,171.725) [8700,46400] " , " (664.467,664.467) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (2.2,2.2) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (10.9333,10.9333) [638,1044] " , " (0.333333,0.333333) [1,2] " , " (1951.8,1951.8) [2000,2350] " , " (30.2845,30.2845) [15,30] " , " (3.1,3.1) [2,4] " , " (2.33333,2.33333) [2,3] " , " (450.192,450.192) [50,455] " , " (2836.54,2836.54) [1000,4000] " , " (2.50333,2.50333) [1,3] " , " (0.94,0.94) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (9,9) [8,9] " , " (2.33333,2.33333) [3,4] " , " (2.03571,2.03571) [1,2] " , " (0,0) [1,2] "
7 , 57 , 92 , 126 , 129 , 151 , 137 , 192 , 260 , " (280.121,280.121) [8700,46400] " , " (659.61,659.61) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (5.51667,5.51667) [3,4] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (14.2833,14.2833) [638,1044] " , " (1,1) [1,2] " , " (2219.18,2219.18) [2000,2350] " , " (38.3328,38.3328) [15,30] " , " (3.30532,3.30532) [2,4] " , " (2.66667,2.66667) [2,3] " , " (424.687,424.687) [50,455] " , " (2219.22,2219.22) [1000,4000] " , " (2.73667,2.73667) [1,3] " , " (6.68,6.68) [0,7] " , " (4,4) [1,2] " , " (1.2,1.2) [1,2] " , " (9.95,9.95) [8,9] " , " (1.16667,1.16667) [3,4] " , " (2.5,2.5) [1,2] " , " (2,2) [1,2] "
8 , 20 , 84 , 127 , 118 , 175 , 181 , 227 , 246 , " (164.567,164.567) [8700,46400] " , " (993.877,993.877) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (15.2367,15.2367) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2218.48,2218.48) [2000,2350] " , " (25.7583,25.7583) [15,30] " , " (2,2) [2,4] " , " (3,3) [2,3] " , " (177.008,177.008) [50,455] " , " (3434.49,3434.49) [1000,4000] " , " (3.6,3.6) [1,3] " , " (3.9,3.9) [0,7] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2,2) [3,4] " , " (1.5,1.5) [1,2] " , " (3,3) [1,2] "
9 , 66 , 113 , 121 , 120 , 185 , 151 , 235 , 285 , " (140.882,140.882) [8700,46400] " , " (707.913,707.913) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.0893,12.0893) [638,1044] " , " (0,0) [1,2] " , " (2205.89,2205.89) [2000,2350] " , " (33.1213,33.1213) [15,30] " , " (3.09333,3.09333) [2,4] " , " (3,3) [2,3] " , " (284.785,284.785) [50,455] " , " (3194.24,3194.24) [1000,4000] " , " (2.49667,2.49667) [1,3] " , " (2.14,2.14) [0,7] " , " (4,4) [1,2] " , " (1.6,1.6) [1,2] " , " (9.32333,9.32333) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.23143,2.23143) [1,2] " , " (2,2) [1,2] "
10 , 11 , 112 , 132 , 118 , 160 , 143 , 193 , 260 , " (144.2,144.2) [8700,46400] " , " (615,615) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (5.16667,5.16667) [3,4] " , " (0,0) [0,1] " , " (0.95,0.95) [1,2] " , " (11.7,11.7) [638,1044] " , " (1.6,1.6) [1,2] " , " (2249.73,2249.73) [2000,2350] " , " (34.0895,34.0895) [15,30] " , " (1.91667,1.91667) [2,4] " , " (2,2) [2,3] " , " (414.625,414.625) [50,455] " , " (3099.89,3099.89) [1000,4000] " , " (4.69333,4.69333) [1,3] " , " (4.13333,4.13333) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9.8,9.8) [8,9] " , " (2.83333,2.83333) [3,4] " , " (2.03571,2.03571) [1,2] " , " (4,4) [1,2] "
