DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , ACIDOFOLICOG , CALCIOMG , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTELECHECONAZUCAR , EQUIVALENTELECHEENTERA , HIERROMG , EQUIVALENTEAOAALTOENGRASA , KILOCALORIAS , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTECEREALESCONGRASA , COLESTEROLMG , SODIOMG , EQUIVALENTEVERDURAS , AGSATURADOSG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA , EQUIVALENTECEREALESSINGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTELEGUMINOSAS , EQUIVALENTEAOAMUYBAJOSENGRASA
1 , 66 , 96 , 131 , 133 , 185 , 151 , 235 , 272 , " (187.448,177.947) [8700,46400] " , " (682.25,665.85) [43500,75400] " , " (0,0) [0,1] " , " (1.66667,1.66667) [1,2] " , " (3.7,3.5) [3,4] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (9.87,10.97) [638,1044] " , " (1.6,1.6) [1,2] " , " (2125,2173.43) [2000,2350] " , " (21.9507,26.8973) [15,30] " , " (2.26,2.16) [2,4] " , " (2,2) [2,3] " , " (251.4,228.6) [50,455] " , " (2800.04,2555.54) [1000,4000] " , " (1.84333,1.90333) [1,3] " , " (2.64,2.5) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.4,8.4) [8,9] " , " (3.16667,3.16667) [3,4] " , " (1.16,1.66) [1,2] " , " (1,1) [1,2] "
2 , 11 , 110 , 121 , 128 , 175 , 175 , 227 , 260 , " (134.523,155.485) [8700,46400] " , " (1116.45,1116.45) [43500,75400] " , " (0.3,0.3) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (1.95,1.95) [1,2] " , " (14.8833,14.8833) [638,1044] " , " (1.33333,1.33333) [1,2] " , " (2147.44,2117.5) [2000,2350] " , " (24.2643,20.2962) [15,30] " , " (2.5,2.5) [2,4] " , " (2,2) [2,3] " , " (440.125,440.125) [50,455] " , " (3693.9,3733.16) [1000,4000] " , " (2.1,2.36667) [1,3] " , " (2.6,2.6) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9,9) [8,9] " , " (3.33333,3.33333) [3,4] " , " (1.32143,1.03571) [1,2] " , " (1.5,1.5) [1,2] "
3 , 31 , 95 , 125 , 118 , 145 , 145 , 221 , 242 , " (291.916,290.196) [8700,46400] " , " (1174.08,1173.18) [43500,75400] " , " (0.333333,0.333333) [0,1] " , " (1,1) [1,2] " , " (3.6,3.6) [3,4] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (11.5217,11.9217) [638,1044] " , " (2,2) [1,2] " , " (2171.68,2171.78) [2000,2350] " , " (22.3517,22.7717) [15,30] " , " (3.7,3.7) [2,4] " , " (2,2) [2,3] " , " (182.018,182.018) [50,455] " , " (3235.14,3468.21) [1000,4000] " , " (2.95833,2.85833) [1,3] " , " (2.68,2.68) [0,7] " , " (1.75,1.75) [1,2] " , " (2,2) [1,2] " , " (9,9) [8,9] " , " (3.16667,3.16667) [3,4] " , " (1,1) [1,2] " , " (1.35,1.35) [1,2] "
4 , 66 , 96 , 122 , 129 , 137 , 185 , 192 , 272 , " (196.866,187.448) [8700,46400] " , " (688.2,720.3) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.75,3.7) [3,4] " , " (0,0) [0,1] " , " (1.15,1.15) [1,2] " , " (9.80333,9.87) [638,1044] " , " (1.6,1.6) [1,2] " , " (2185.81,2110.7) [2000,2350] " , " (27.2194,21.9507) [15,30] " , " (2.01294,2.26) [2,4] " , " (2,2) [2,3] " , " (243.675,254.875) [50,455] " , " (3287.96,2808.88) [1000,4000] " , " (2.51667,1.83333) [1,3] " , " (2.3,2.34) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.4,8.4) [8,9] " , " (3,3.66667) [3,4] " , " (1.66,1.16) [1,2] " , " (1.66667,1) [1,2] "
5 , 31 , 107 , 131 , 132 , 184 , 184 , 214 , 280 , " (187.229,193.177) [8700,46400] " , " (1189.9,1162.6) [43500,75400] " , " (0.333333,0.333333) [0,1] " , " (1,1) [1,2] " , " (3.7,3.7) [3,4] " , " (0,0) [0,1] " , " (1.1,1.1) [1,2] " , " (11.3,11.2) [638,1044] " , " (1.33333,1.33333) [1,2] " , " (2221.13,2211.35) [2000,2350] " , " (23.015,21.5345) [15,30] " , " (3.2,3.2) [2,4] " , " (2.33333,2.33333) [2,3] " , " (269,269) [50,455] " , " (3972.63,3742.72) [1000,4000] " , " (1.70167,1.975) [1,3] " , " (3.86,3.86) [0,7] " , " (2,2) [1,2] " , " (2,2) [1,2] " , " (8.5,8.5) [8,9] " , " (3.66667,3.66667) [3,4] " , " (1.25,1.03571) [1,2] " , " (2,2) [1,2] "
6 , 66 , 113 , 124 , 119 , 151 , 185 , 192 , 248 , " (132.853,104.481) [8700,46400] " , " (833.9,829.375) [43500,75400] " , " (0,0) [0,1] " , " (1,1.33333) [1,2] " , " (3.35,3.55) [3,4] " , " (0,0) [0,1] " , " (1.15,1.15) [1,2] " , " (12.2327,11.1577) [638,1044] " , " (1,1) [1,2] " , " (2159.29,2188.59) [2000,2350] " , " (26.8323,20.319) [15,30] " , " (2.49333,2.59333) [2,4] " , " (3,3) [2,3] " , " (235.785,278.085) [50,455] " , " (2813.06,3144.44) [1000,4000] " , " (2.68667,2.08333) [1,3] " , " (2.27,3.11) [0,7] " , " (2,2) [1,2] " , " (1.6,1.85) [1,2] " , " (8.19,8.69) [8,9] " , " (3.71667,3.71667) [3,4] " , " (1.66,1.16) [1,2] " , " (1.33333,1.33333) [1,2] "
7 , 11 , 107 , 130 , 128 , 151 , 185 , 235 , 284 , " (152.353,176.615) [8700,46400] " , " (929.217,912.45) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3,3.2) [3,4] " , " (0,0) [0,1] " , " (1.3,1.3) [1,2] " , " (12.4933,10.2267) [638,1044] " , " (1.33333,1) [1,2] " , " (2118.74,2030.27) [2000,2350] " , " (29.0383,22.9745) [15,30] " , " (3.5,3.6) [2,4] " , " (2.33333,2.33333) [2,3] " , " (437.517,450.85) [50,455] " , " (2420.42,2621.01) [1000,4000] " , " (1.45333,2.18333) [1,3] " , " (1.7,1.84) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.5,8.5) [8,9] " , " (3.66667,3.66667) [3,4] " , " (1.75,1.03571) [1,2] " , " (2,2) [1,2] "
8 , 20 , 84 , 133 , 125 , 181 , 180 , 227 , 246 , " (95.3517,38.1717) [8700,46400] " , " (1168.58,1143.48) [43500,75400] " , " (0,1) [0,1] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.85,1.85) [1,2] " , " (10.5667,9.775) [638,1044] " , " (1.66667,1) [1,2] " , " (2239.18,2239.1) [2000,2350] " , " (24.75,23.19) [15,30] " , " (2.66667,2.66667) [2,4] " , " (3,3) [2,3] " , " (225.835,203.535) [50,455] " , " (3408.6,3013.43) [1000,4000] " , " (1.83333,1.08333) [1,3] " , " (5.7,5.7) [0,7] " , " (1.5,1.75) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.9,8.9) [8,9] " , " (3.46667,3.46667) [3,4] " , " (1.5,1.5) [1,2] " , " (1.5,1.5) [1,2] "
9 , 66 , 96 , 134 , 122 , 151 , 137 , 192 , 272 , " (187.297,196.866) [8700,46400] " , " (703.9,688.2) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.5,3.75) [3,4] " , " (0,0) [0,1] " , " (1.15,1.15) [1,2] " , " (10.97,9.80333) [638,1044] " , " (1.6,1.6) [1,2] " , " (2161.26,2185.81) [2000,2350] " , " (27.0673,27.2194) [15,30] " , " (2.16,2.01294) [2,4] " , " (2,2) [2,3] " , " (232.075,243.675) [50,455] " , " (2331.88,3287.96) [1000,4000] " , " (2.00333,2.51667) [1,3] " , " (2.2,2.3) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.4,8.4) [8,9] " , " (3.66667,3) [3,4] " , " (1.66,1.66) [1,2] " , " (1,1.66667) [1,2] "
10 , 66 , 92 , 123 , 132 , 151 , 137 , 192 , 248 , " (126.985,135.111) [8700,46400] " , " (961.11,950.21) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.11667,3.45) [3,4] " , " (0,0) [0,1] " , " (1.15,1.15) [1,2] " , " (12.91,11.81) [638,1044] " , " (2,2) [1,2] " , " (2194.03,2263.85) [2000,2350] " , " (25.8323,28.4506) [15,30] " , " (2.32667,2.17961) [2,4] " , " (2,2) [2,3] " , " (335.962,307.595) [50,455] " , " (2643.2,2601.38) [1000,4000] " , " (2.17,2.7) [1,3] " , " (6.8,2.25) [0,7] " , " (2,2) [1,2] " , " (1.7,1.7) [1,2] " , " (8.15,8.65) [8,9] " , " (3.71667,3.05) [3,4] " , " (1.66,1.94571) [1,2] " , " (2,2) [1,2] "
